Liczba: 10, Binarnie: 1010, Bloki: 4
Liczba: 11670, Binarnie: 10110110010110, Bloki: 10
Liczba: 2395, Binarnie: 100101011011, Bloki: 9
Liczba: 34545, Binarnie: 1000011011110001, Bloki: 7
Liczba: 45346, Binarnie: 1011000100100010, Bloki: 10
Liczba: 432, Binarnie: 110110000, Bloki: 4
Liczba: 332, Binarnie: 101001100, Bloki: 6
Liczba: 3543, Binarnie: 110111010111, Bloki: 7
Liczba: 45334, Binarnie: 1011000100010110, Bloki: 10
Liczba: 33, Binarnie: 100001, Bloki: 3
Liczba: 3456, Binarnie: 110110000000, Bloki: 4
Liczba: 456, Binarnie: 111001000, Bloki: 4
Liczba: 55, Binarnie: 110111, Bloki: 3
Liczba: 31, Binarnie: 11111, Bloki: 1
Liczba: 12, Binarnie: 1100, Bloki: 2
Liczba: 14, Binarnie: 1110, Bloki: 2
Liczba: 78, Binarnie: 1001110, Bloki: 4
Liczba: 97, Binarnie: 1100001, Bloki: 3
Liczba: 544, Binarnie: 1000100000, Bloki: 4
Liczba: 322, Binarnie: 101000010, Bloki: 6
Liczba: 2345, Binarnie: 100100101001, Bloki: 9
Liczba: 43654, Binarnie: 1010101010000110, Bloki: 12
Liczba: 9867, Binarnie: 10011010001011, Bloki: 9
Liczba: 67889, Binarnie: 10000100100110001, Bloki: 9
Liczba: 7886, Binarnie: 1111011001110, Bloki: 6
Liczba: 35643, Binarnie: 1000101100111011, Bloki: 9
